index,user_id,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,first_event_time,last_event_time,cart_to_purchase_flag,cart_abandonment_flag,purchase_rate_per_event,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment
56,104664738,75,20,26,16,13,35.09,2019-10-27 13:15:19+00:00,2019-11-06 07:42:56+00:00,1,0,0.17333333333333334,115.67850694444445,13,35.09,1,4,3,8,At-risk loyal buyers
58,104808268,144,46,54,13,31,125.97,2019-10-03 09:04:17+00:00,2020-01-25 08:06:36+00:00,1,0,0.2152777777777778,35.66207175925926,31,125.97,3,5,5,13,Regular buyers
61,105075440,144,94,28,13,9,41.38,2019-10-02 06:51:01+00:00,2020-02-28 06:40:56+00:00,1,0,0.0625,1.7215625,9,41.38,5,4,3,12,Regular buyers
62,105118203,357,21,208,94,34,212.14999999999998,2019-10-02 09:01:07+00:00,2020-02-29 11:25:03+00:00,1,0,0.09523809523809523,0.5242592592592593,34,212.14999999999998,5,5,5,15,Champions
65,105379623,80,39,16,19,6,20.080000000000002,2019-11-20 06:31:08+00:00,2020-01-21 16:39:16+00:00,1,0,0.075,39.30605324074074,6,20.080000000000002,3,3,2,8,Regular buyers
71,105697630,1007,472,258,159,118,501.35,2019-10-19 15:54:10+00:00,2020-02-29 18:42:09+00:00,1,0,0.11717974180734857,0.2207175925925926,118,501.35,5,5,5,15,Champions
83,106471075,196,14,93,68,21,302.46000000000004,2019-10-28 05:28:27+00:00,2020-02-25 04:32:41+00:00,1,0,0.10714285714285714,4.810625,21,302.46000000000004,5,5,5,15,Champions
89,107076265,37,12,13,6,6,47.93,2020-02-05 12:52:38+00:00,2020-02-28 11:35:42+00:00,1,0,0.16216216216216217,1.516863425925926,6,47.93,5,3,4,12,Regular buyers
91,107088121,31,1,15,2,13,12.01,2019-10-15 13:13:10+00:00,2019-10-16 10:21:58+00:00,1,0,0.41935483870967744,136.56806712962964,13,12.01,1,4,1,6,At-risk loyal buyers
92,107113173,33,21,7,0,5,45.19,2019-10-14 13:58:29+00:00,2019-10-27 10:33:33+00:00,1,0,0.15151515151515152,125.56002314814815,5,45.19,1,2,4,7,Inactive buyers
94,107219040,3,1,1,0,1,34.05,2020-01-23 17:07:14+00:00,2020-01-23 17:10:34+00:00,1,0,0.3333333333333333,37.28431712962963,1,34.05,3,1,3,7,Regular buyers
100,107945915,560,58,317,22,163,479.0,2019-10-14 05:04:04+00:00,2020-02-29 12:15:07+00:00,1,0,0.2910714285714286,0.4894907407407407,163,479.0,5,5,5,15,Champions
107,108875256,21,13,4,1,3,20.78,2020-01-28 10:43:39+00:00,2020-01-28 15:46:52+00:00,1,0,0.14285714285714285,32.34244212962963,3,20.78,4,2,2,8,New buyers
110,109091597,235,44,85,48,58,263.71000000000004,2019-10-24 03:09:14+00:00,2019-11-30 21:52:45+00:00,1,0,0.24680851063829787,91.08835648148148,58,263.71000000000004,2,5,5,12,At-risk loyal buyers
122,109899387,80,48,13,17,2,28.950000000000003,2019-11-18 00:41:32+00:00,2019-11-18 04:18:23+00:00,1,0,0.025,103.82055555555556,2,28.950000000000003,1,1,3,5,Inactive buyers
123,109928361,157,22,87,43,5,16.03,2019-10-15 10:50:42+00:00,2020-02-18 20:39:26+00:00,1,0,0.03184713375796178,11.139270833333333,5,16.03,5,2,2,9,New buyers
124,110478711,19,13,3,2,1,18.89,2019-10-06 16:45:42+00:00,2019-10-09 17:48:53+00:00,1,0,0.05263157894736842,143.25770833333334,1,18.89,1,1,2,4,Inactive buyers
129,110795472,13,4,5,3,1,19.03,2020-02-11 17:44:49+00:00,2020-02-22 15:31:29+00:00,1,0,0.07692307692307693,7.353125,1,19.03,5,1,2,8,New buyers
139,111515411,24,10,9,0,5,25.86,2019-10-16 20:59:19+00:00,2019-11-11 17:22:41+00:00,1,0,0.20833333333333334,110.27590277777777,5,25.86,1,2,3,6,Inactive buyers
140,111672982,11,7,2,0,2,32.06,2019-12-23 18:51:45+00:00,2019-12-23 18:59:52+00:00,1,0,0.18181818181818182,68.20841435185186,2,32.06,2,1,3,6,Inactive buyers
143,111782974,20,0,13,3,4,11.39,2019-10-27 18:38:40+00:00,2019-12-02 11:28:35+00:00,1,0,0.2,89.52180555555556,4,11.39,2,2,1,5,Inactive buyers
154,112556049,10,1,7,0,2,17.3,2019-12-04 08:26:15+00:00,2019-12-04 08:32:42+00:00,1,0,0.2,87.64394675925926,2,17.3,2,1,2,5,Inactive buyers
170,113487654,114,51,37,18,8,58.67,2019-10-10 19:29:13+00:00,2020-02-29 12:32:50+00:00,1,0,0.07017543859649122,0.4771875,8,58.67,5,3,4,12,Regular buyers
173,113529092,89,61,12,9,7,25.07,2019-10-11 16:33:14+00:00,2019-10-12 17:57:53+00:00,1,0,0.07865168539325842,140.25145833333335,7,25.07,1,3,3,7,Regular buyers
177,113828158,5,0,3,0,2,16.51,2019-12-25 13:34:55+00:00,2019-12-25 13:40:09+00:00,1,0,0.4,66.43043981481482,2,16.51,3,1,2,6,Regular buyers
186,114401397,49,4,25,5,15,99.96000000000001,2019-11-25 15:27:12+00:00,2020-02-03 15:57:12+00:00,1,0,0.30612244897959184,26.335266203703704,15,99.96000000000001,4,4,5,13,Champions
188,114462217,14,8,3,0,3,12.39,2019-11-30 12:29:11+00:00,2020-01-25 07:19:31+00:00,1,0,0.21428571428571427,35.694768518518515,3,12.39,3,2,1,6,Regular buyers
193,114598339,536,32,188,301,15,43.48,2019-10-01 14:04:32+00:00,2020-01-27 08:08:25+00:00,1,0,0.027985074626865673,33.660810185185184,15,43.48,3,4,4,11,Regular buyers
202,115036271,189,81,46,45,17,85.96000000000001,2019-10-01 10:57:19+00:00,2019-12-14 19:35:07+00:00,1,0,0.08994708994708994,77.18393518518519,17,85.96000000000001,2,5,5,12,At-risk loyal buyers
206,115398528,296,9,147,80,60,554.6999999999999,2019-10-23 16:49:20+00:00,2020-02-13 08:03:59+00:00,1,0,0.20270270270270271,16.663888888888888,60,554.6999999999999,4,5,5,14,Champions
208,115460314,35,14,9,8,4,20.53,2019-10-31 21:38:07+00:00,2019-11-12 22:07:10+00:00,1,0,0.11428571428571428,109.07834490740741,4,20.53,1,2,2,5,Inactive buyers
214,115857713,100,78,9,10,3,29.41,2019-10-19 15:52:36+00:00,2020-02-12 19:56:11+00:00,1,0,0.03,17.169305555555557,3,29.41,4,2,3,9,New buyers
218,116049280,84,30,24,9,21,59.739999999999995,2019-10-22 17:46:16+00:00,2020-02-26 18:49:35+00:00,1,0,0.25,3.2155555555555555,21,59.739999999999995,5,5,4,14,Champions
223,116391305,40,19,9,8,4,45.870000000000005,2020-01-16 13:34:13+00:00,2020-02-10 12:10:50+00:00,1,0,0.1,19.49246527777778,4,45.870000000000005,4,2,4,10,High-value occasional buyers
224,116498266,27,23,2,1,1,13.33,2019-11-07 11:46:42+00:00,2020-02-25 21:01:10+00:00,1,0,0.037037037037037035,4.124178240740741,1,13.33,5,1,1,7,New buyers
241,117857805,27,7,10,7,3,12.54,2019-10-14 13:23:51+00:00,2019-11-04 10:08:55+00:00,1,0,0.1111111111111111,117.57712962962962,3,12.54,1,2,1,4,Inactive buyers
242,117870795,119,92,14,3,10,55.43000000000001,2019-10-10 07:48:30+00:00,2020-02-28 06:44:05+00:00,1,0,0.08403361344537816,1.719375,10,55.43000000000001,5,4,4,13,Champions
255,118539394,351,224,53,55,19,77.26,2019-11-22 15:24:43+00:00,2020-02-12 20:29:04+00:00,1,0,0.05413105413105413,17.146469907407408,19,77.26,4,5,5,14,Champions
257,118735467,145,92,28,4,21,82.64000000000001,2019-11-08 19:00:03+00:00,2019-11-28 15:25:36+00:00,1,0,0.14482758620689656,93.35721064814815,21,82.64000000000001,2,5,5,12,At-risk loyal buyers
259,118821435,430,120,154,63,93,411.72,2019-10-02 17:35:50+00:00,2019-12-21 21:29:37+00:00,1,0,0.21627906976744185,70.1044212962963,93,411.72,2,5,5,12,At-risk loyal buyers
262,118988445,44,18,17,3,6,22.11,2019-11-21 17:16:49+00:00,2020-01-16 18:39:30+00:00,1,0,0.13636363636363635,44.22255787037037,6,22.11,3,3,2,8,Regular buyers
268,119190618,173,78,44,29,22,41.49,2019-10-13 08:52:06+00:00,2020-02-06 15:26:01+00:00,1,0,0.12716763005780346,23.356921296296296,22,41.49,4,5,3,12,Regular buyers
272,119406840,4,2,1,0,1,41.41,2019-11-20 14:17:01+00:00,2019-11-23 13:46:07+00:00,1,0,0.25,98.4262962962963,1,41.41,2,1,3,6,Inactive buyers
282,119917559,235,56,66,98,15,52.38,2019-10-05 10:28:16+00:00,2019-10-27 15:39:05+00:00,1,0,0.06382978723404255,125.34784722222223,15,52.38,1,4,4,9,At-risk loyal buyers
291,12055855,24,10,10,0,4,16.54,2019-10-16 20:09:21+00:00,2019-12-20 12:05:29+00:00,1,0,0.16666666666666666,71.49618055555555,4,16.54,2,2,2,6,Inactive buyers
295,120679988,29,20,5,2,2,14.27,2020-02-15 12:50:33+00:00,2020-02-25 19:16:52+00:00,1,0,0.06896551724137931,4.196608796296296,2,14.27,5,1,2,8,New buyers
296,120831073,8,2,5,0,1,1.9,2019-12-11 13:42:15+00:00,2020-01-17 11:12:59+00:00,1,0,0.125,43.53263888888889,1,1.9,3,1,1,5,Regular buyers
301,121059288,112,18,50,37,7,42.07,2019-11-07 07:08:07+00:00,2020-02-14 03:28:36+00:00,1,0,0.0625,15.855127314814816,7,42.07,4,3,4,11,Regular buyers
309,121496884,201,14,111,42,34,111.77,2019-10-28 14:08:11+00:00,2020-01-15 18:57:17+00:00,1,0,0.1691542288557214,45.210208333333334,34,111.77,3,5,5,13,Regular buyers
310,121508783,162,31,67,27,37,133.98,2019-10-14 19:29:56+00:00,2019-11-24 20:54:32+00:00,1,0,0.22839506172839505,97.12878472222222,37,133.98,2,5,5,12,At-risk loyal buyers
322,122125743,33,15,9,1,8,41.55,2019-10-27 17:45:52+00:00,2020-01-26 12:19:34+00:00,1,0,0.24242424242424243,34.48640046296296,8,41.55,3,3,3,9,Regular buyers
328,122626605,71,25,20,15,11,19.540000000000003,2019-10-01 04:27:51+00:00,2020-02-14 20:13:52+00:00,1,0,0.15492957746478872,15.157025462962963,11,19.540000000000003,4,4,2,10,Regular buyers
334,122897605,44,9,19,4,12,50.68,2019-11-01 19:38:01+00:00,2019-12-16 15:17:34+00:00,1,0,0.2727272727272727,75.36278935185184,12,50.68,2,4,4,10,At-risk loyal buyers
343,123765602,28,14,7,2,5,9.58,2020-01-19 16:38:47+00:00,2020-01-19 17:09:03+00:00,1,0,0.17857142857142858,41.28537037037037,5,9.58,3,2,1,6,Regular buyers
351,124354517,268,168,51,22,27,194.35,2019-10-06 18:32:17+00:00,2020-01-25 12:51:06+00:00,1,0,0.10074626865671642,35.464502314814816,27,194.35,3,5,5,13,Regular buyers
359,124850942,278,132,65,54,27,237.7,2019-10-04 10:40:43+00:00,2019-12-12 21:36:12+00:00,1,0,0.09712230215827339,79.09984953703703,27,237.7,2,5,5,12,At-risk loyal buyers
369,125333572,91,31,29,7,24,101.57,2019-11-18 06:12:02+00:00,2020-01-28 08:57:18+00:00,1,0,0.26373626373626374,32.626863425925926,24,101.57,3,5,5,13,Regular buyers
375,125804082,25,11,6,5,3,18.65,2020-01-09 13:25:21+00:00,2020-02-27 17:13:12+00:00,1,0,0.12,2.282488425925926,3,18.65,5,2,2,9,New buyers
378,126051562,397,122,151,53,71,349.24,2019-10-27 17:53:34+00:00,2020-02-21 19:59:33+00:00,1,0,0.17884130982367757,8.166967592592593,71,349.24,5,5,5,15,Champions
385,126492008,22,12,5,1,4,23.799999999999997,2019-10-02 13:04:54+00:00,2019-11-15 07:52:43+00:00,1,0,0.18181818181818182,106.67171296296296,4,23.799999999999997,1,2,2,5,Inactive buyers
387,126580575,75,13,31,22,9,42.55,2019-12-02 16:07:12+00:00,2020-02-22 18:46:11+00:00,1,0,0.12,7.2179166666666665,9,42.55,5,4,4,13,Champions
396,127009474,42,27,8,1,6,32.85,2020-01-26 14:14:13+00:00,2020-02-21 12:59:30+00:00,1,0,0.14285714285714285,8.458668981481482,6,32.85,5,3,3,11,Regular buyers
402,127261957,100,9,30,34,27,73.78,2019-11-20 05:06:39+00:00,2020-01-02 18:01:59+00:00,1,0,0.27,58.24861111111111,27,73.78,3,5,4,12,Regular buyers
404,127274675,566,147,220,140,59,168.85000000000002,2019-10-04 19:21:45+00:00,2020-02-17 09:01:09+00:00,1,0,0.10424028268551237,12.624189814814814,59,168.85000000000002,4,5,5,14,Champions
406,127350130,134,92,14,20,8,56.49,2019-10-19 14:59:27+00:00,2020-01-14 15:17:35+00:00,1,0,0.05970149253731343,46.36277777777778,8,56.49,3,3,4,10,Regular buyers
407,127383794,67,15,26,2,24,127.7,2019-11-26 07:57:25+00:00,2019-12-01 19:14:59+00:00,1,0,0.3582089552238806,90.19791666666667,24,127.7,2,5,5,12,At-risk loyal buyers
412,127690568,45,16,20,3,6,83.4,2019-10-23 12:58:50+00:00,2020-02-12 07:09:38+00:00,1,0,0.13333333333333333,17.701631944444443,6,83.4,4,3,5,12,Regular buyers
414,128172267,42,23,12,1,6,44.91,2019-11-16 15:03:50+00:00,2020-02-13 10:56:33+00:00,1,0,0.14285714285714285,16.544050925925927,6,44.91,4,3,4,11,Regular buyers
416,128263123,62,19,22,11,10,35.8,2019-11-11 13:53:35+00:00,2019-11-24 17:26:33+00:00,1,0,0.16129032258064516,97.27321759259259,10,35.8,2,4,3,9,At-risk loyal buyers
419,128562720,15,3,6,1,5,15.559999999999999,2019-10-01 17:07:22+00:00,2019-10-01 17:23:39+00:00,1,0,0.3333333333333333,151.27523148148148,5,15.559999999999999,1,2,2,5,Inactive buyers
428,129089988,6,4,1,0,1,47.59,2019-11-01 13:32:07+00:00,2020-02-16 20:21:43+00:00,1,0,0.16666666666666666,13.151574074074073,1,47.59,4,1,4,9,High-value occasional buyers
436,12936739,9,2,5,0,2,29.89,2020-01-17 07:48:11+00:00,2020-01-17 07:51:19+00:00,1,0,0.2222222222222222,43.67268518518519,2,29.89,3,1,3,7,Regular buyers
440,129675214,38,13,13,3,9,41.17,2020-01-03 14:52:33+00:00,2020-02-26 19:07:15+00:00,1,0,0.23684210526315788,3.203287037037037,9,41.17,5,4,3,12,Regular buyers
445,129845309,142,96,21,22,3,73.89,2019-10-06 14:50:39+00:00,2020-02-27 13:25:18+00:00,1,0,0.02112676056338028,2.440752314814815,3,73.89,5,2,4,11,High-value occasional buyers
446,129863522,105,81,13,3,8,25.29,2019-10-26 20:41:15+00:00,2020-02-25 20:23:55+00:00,1,0,0.0761904761904762,4.1500462962962965,8,25.29,5,3,3,11,Regular buyers
456,130496744,19,1,13,0,5,49.11,2019-11-02 17:07:48+00:00,2019-11-02 18:52:06+00:00,1,0,0.2631578947368421,119.21380787037037,5,49.11,1,2,4,7,Inactive buyers
465,131028611,4,0,2,0,2,10.64,2019-10-23 15:33:57+00:00,2019-10-23 15:41:32+00:00,1,0,0.5,129.34614583333334,2,10.64,1,1,1,3,Inactive buyers
473,131878551,16,5,6,3,2,6.49,2019-11-12 08:01:31+00:00,2019-11-23 10:29:07+00:00,1,0,0.125,98.56310185185185,2,6.49,2,1,1,4,Inactive buyers
478,131994138,2537,1041,793,677,26,93.69,2019-10-13 16:51:27+00:00,2020-02-28 17:37:25+00:00,1,0,0.010248324793062672,1.2656712962962964,26,93.69,5,5,5,15,Champions
480,132136725,34,12,11,3,8,27.36,2019-10-05 14:13:28+00:00,2019-10-05 16:37:13+00:00,1,0,0.23529411764705882,147.30747685185185,8,27.36,1,3,3,7,Regular buyers
481,132176314,44,7,19,7,11,43.59,2019-10-09 01:31:52+00:00,2019-10-11 02:54:43+00:00,1,0,0.25,141.87865740740742,11,43.59,1,4,4,9,At-risk loyal buyers
489,132692896,350,102,130,50,68,203.10000000000002,2019-10-02 05:40:17+00:00,2020-02-28 16:16:39+00:00,1,0,0.19428571428571428,1.3217592592592593,68,203.10000000000002,5,5,5,15,Champions
496,133575160,7,1,4,1,1,9.52,2020-02-17 08:38:16+00:00,2020-02-17 08:40:39+00:00,1,0,0.14285714285714285,12.638425925925926,1,9.52,4,1,1,6,New buyers
503,134424129,13,0,7,0,6,30.15,2019-11-14 14:37:12+00:00,2019-11-14 14:41:45+00:00,1,0,0.46153846153846156,107.38766203703703,6,30.15,1,3,3,7,Regular buyers
509,134747658,8,2,3,0,3,28.57,2020-01-15 16:28:23+00:00,2020-01-15 17:04:57+00:00,1,0,0.375,45.288217592592595,3,28.57,3,2,3,8,Regular buyers
515,135535592,95,31,45,11,8,20.64,2020-01-09 10:59:32+00:00,2020-01-29 17:46:32+00:00,1,0,0.08421052631578947,31.259340277777778,8,20.64,4,3,2,9,Regular buyers
524,136540093,16,4,6,3,3,14.36,2019-10-07 19:04:50+00:00,2019-12-17 16:11:52+00:00,1,0,0.1875,74.32508101851852,3,14.36,2,2,2,6,Inactive buyers
529,137015634,103,77,11,6,9,45.050000000000004,2019-10-07 10:59:51+00:00,2020-02-05 13:06:36+00:00,1,0,0.08737864077669903,24.453738425925927,9,45.050000000000004,4,4,4,12,Champions
534,137385912,110,30,39,29,12,90.91,2019-11-14 21:14:14+00:00,2020-02-11 14:53:21+00:00,1,0,0.10909090909090909,18.37960648148148,12,90.91,4,4,5,13,Champions
540,137810775,22,13,5,1,3,13.4,2019-10-12 19:33:40+00:00,2020-02-03 17:50:44+00:00,1,0,0.13636363636363635,26.25642361111111,3,13.4,4,2,1,7,New buyers
567,140439288,118,59,26,24,9,29.0,2019-10-04 07:43:54+00:00,2019-10-09 21:05:24+00:00,1,0,0.07627118644067797,143.12123842592592,9,29.0,1,4,3,8,At-risk loyal buyers
575,140904065,7,3,2,0,2,27.810000000000002,2019-11-29 20:25:29+00:00,2019-12-31 17:04:53+00:00,1,0,0.2857142857142857,60.28826388888889,2,27.810000000000002,3,1,3,7,Regular buyers
576,140913335,139,29,69,5,36,192.16,2019-10-14 12:16:34+00:00,2020-02-12 12:44:57+00:00,1,0,0.2589928057553957,17.46877314814815,36,192.16,4,5,5,14,Champions
580,141330451,61,33,16,6,6,16.47,2019-10-10 07:38:00+00:00,2019-12-17 09:29:35+00:00,1,0,0.09836065573770492,74.60444444444444,6,16.47,2,3,2,7,Regular buyers
586,141894282,82,16,27,22,17,48.480000000000004,2019-10-23 18:56:47+00:00,2019-12-27 11:51:08+00:00,1,0,0.2073170731707317,64.50614583333333,17,48.480000000000004,3,5,4,12,Regular buyers
594,142717569,232,85,43,22,82,334.3,2019-10-01 13:17:39+00:00,2020-02-20 15:25:45+00:00,1,0,0.35344827586206895,9.357106481481482,82,334.3,5,5,5,15,Champions
611,144811207,47,27,10,5,5,10.88,2019-10-25 07:41:25+00:00,2019-10-25 10:32:16+00:00,1,0,0.10638297872340426,127.56091435185185,5,10.88,1,2,1,4,Inactive buyers
612,144814405,106,75,14,7,10,32.46,2019-12-05 08:26:41+00:00,2019-12-05 11:23:20+00:00,1,0,0.09433962264150944,86.52545138888888,10,32.46,2,4,3,9,At-risk loyal buyers
622,145844909,36,21,9,3,3,23.41,2019-10-01 20:12:56+00:00,2020-02-19 20:36:55+00:00,1,0,0.08333333333333333,10.141018518518518,3,23.41,5,2,2,9,New buyers
624,145894216,62,28,17,13,4,42.32,2019-10-24 04:48:19+00:00,2019-12-05 10:03:17+00:00,1,0,0.06451612903225806,86.58104166666666,4,42.32,2,2,4,8,Inactive buyers
629,146137902,75,15,29,13,18,47.6,2019-12-13 12:14:11+00:00,2020-01-11 06:21:31+00:00,1,0,0.24,49.7350462962963,18,47.6,3,5,4,12,Regular buyers
630,146310893,121,69,28,5,19,59.61,2019-10-03 19:29:12+00:00,2020-02-14 14:04:47+00:00,1,0,0.15702479338842976,15.413333333333334,19,59.61,4,5,4,13,Champions
634,146594787,238,180,29,19,10,40.28,2019-10-30 05:45:13+00:00,2019-12-03 19:00:01+00:00,1,0,0.04201680672268908,88.20831018518518,10,40.28,2,4,3,9,At-risk loyal buyers
635,146613395,70,20,26,13,11,38.160000000000004,2019-11-15 17:45:35+00:00,2019-11-27 15:38:20+00:00,1,0,0.15714285714285714,94.34836805555555,11,38.160000000000004,2,4,3,9,At-risk loyal buyers
638,146699059,767,312,182,229,44,350.65,2019-10-01 16:09:42+00:00,2020-02-28 21:08:43+00:00,1,0,0.05736636245110821,1.1189351851851852,44,350.65,5,5,5,15,Champions
643,147140434,90,0,36,47,7,43.76,2019-10-02 02:49:16+00:00,2019-10-27 12:36:38+00:00,1,0,0.07777777777777778,125.47454861111112,7,43.76,1,3,4,8,Regular buyers
645,147152600,93,31,19,25,18,48.33,2019-10-13 02:46:51+00:00,2019-10-14 00:43:58+00:00,1,0,0.1935483870967742,138.9694560185185,18,48.33,1,5,4,10,At-risk loyal buyers
650,147392796,27,8,10,2,7,58.730000000000004,2019-12-14 11:22:28+00:00,2020-01-08 16:49:37+00:00,1,0,0.25925925925925924,52.29886574074074,7,58.730000000000004,3,3,4,10,Regular buyers
651,147417144,22,2,7,8,5,12.38,2019-12-02 04:04:18+00:00,2019-12-02 06:34:59+00:00,1,0,0.22727272727272727,89.72569444444444,5,12.38,2,2,1,5,Inactive buyers
653,147558947,117,11,55,32,19,69.94,2019-10-22 12:25:34+00:00,2020-02-18 13:07:41+00:00,1,0,0.1623931623931624,11.45298611111111,19,69.94,5,5,4,14,Champions
663,147995998,85,44,24,6,11,33.18,2020-02-20 06:47:56+00:00,2020-02-29 23:59:05+00:00,1,0,0.12941176470588237,0.000625,11,33.18,5,4,3,12,Regular buyers
676,148604608,6,0,4,0,2,5.0,2020-02-28 10:25:37+00:00,2020-02-28 10:33:13+00:00,1,0,0.3333333333333333,1.5602546296296296,2,5.0,5,1,1,7,New buyers
677,148648103,166,21,87,34,24,33.260000000000005,2019-10-30 16:57:25+00:00,2020-02-25 18:21:36+00:00,1,0,0.14457831325301204,4.234988425925926,24,33.260000000000005,5,5,3,13,Regular buyers
688,149005745,105,14,53,12,26,105.36,2019-12-05 15:20:05+00:00,2020-01-15 10:46:28+00:00,1,0,0.24761904761904763,45.55105324074074,26,105.36,3,5,5,13,Regular buyers
690,149015329,32,15,14,1,2,8.49,2019-11-07 13:44:21+00:00,2019-11-19 05:52:36+00:00,1,0,0.0625,102.75512731481481,2,8.49,1,1,1,3,Inactive buyers
691,149017750,250,129,60,44,17,84.53,2019-11-09 14:37:49+00:00,2020-02-07 17:11:42+00:00,1,0,0.068,22.283530092592592,17,84.53,4,5,5,14,Champions
696,149295616,29,8,11,8,2,7.140000000000001,2020-01-16 13:44:11+00:00,2020-01-20 12:12:50+00:00,1,0,0.06896551724137931,40.49107638888889,2,7.140000000000001,3,1,1,5,Regular buyers
705,149797702,74,7,23,31,13,115.94,2019-10-13 08:00:52+00:00,2020-01-06 10:05:07+00:00,1,0,0.17567567567567569,54.57976851851852,13,115.94,3,4,5,12,Regular buyers
710,149936015,92,11,40,11,30,231.13,2019-11-15 20:36:49+00:00,2019-12-17 17:41:56+00:00,1,0,0.32608695652173914,74.26253472222223,30,231.13,2,5,5,12,At-risk loyal buyers
711,149958406,107,39,30,27,11,48.47,2019-10-07 12:18:26+00:00,2020-01-22 09:23:20+00:00,1,0,0.102803738317757,38.608784722222225,11,48.47,3,4,4,11,Regular buyers
712,150025339,30,0,17,0,13,81.05,2019-11-07 13:17:34+00:00,2019-11-07 13:33:44+00:00,1,0,0.43333333333333335,114.43489583333333,13,81.05,1,4,5,10,At-risk loyal buyers
716,150191214,89,37,22,20,10,37.14,2019-10-07 13:29:50+00:00,2019-10-25 17:19:35+00:00,1,0,0.11235955056179775,127.27805555555555,10,37.14,1,4,3,8,At-risk loyal buyers
718,150318419,2123,1029,592,132,370,3785.0299999999997,2019-10-01 11:05:57+00:00,2020-02-29 16:58:58+00:00,1,0,0.17428167687235044,0.29237268518518517,370,3785.0299999999997,5,5,5,15,Champions
728,150673027,46,20,13,5,8,32.18,2019-10-11 19:05:13+00:00,2020-01-06 10:44:16+00:00,1,0,0.17391304347826086,54.55258101851852,8,32.18,3,3,3,9,Regular buyers
731,150768457,492,204,152,121,15,45.120000000000005,2019-10-28 10:33:36+00:00,2020-02-07 16:28:14+00:00,1,0,0.03048780487804878,22.313715277777778,15,45.120000000000005,4,4,4,12,Champions
734,150908548,62,22,20,11,9,10.52,2020-02-07 18:49:11+00:00,2020-02-07 19:28:54+00:00,1,0,0.14516129032258066,22.188252314814815,9,10.52,4,4,1,9,Regular buyers
739,151045021,436,175,94,133,34,162.07,2019-10-01 06:50:04+00:00,2020-02-27 07:48:20+00:00,1,0,0.0779816513761468,2.6747569444444443,34,162.07,5,5,5,15,Champions
