date,month,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,purchase_per_view_rate,avg_purchase_price
2019-10-28,2019-10,132132,63197,36515,24054,8366,40842.98,0.1323797015681124,4.882020081281377
2019-10-29,2019-10,134769,64004,37444,24849,8472,39202.6,0.13236672707955752,4.627313503305005
2019-10-30,2019-10,125597,59665,35289,22708,7935,38832.06,0.1329925416911087,4.893769376181474
2019-10-31,2019-10,122954,57482,33458,23971,8043,39733.42,0.13992206255871403,4.940124331717021
2019-11-01,2019-11,119114,52769,33715,24869,7761,37126.24,0.14707498720839887,4.783692823089808
2019-11-02,2019-11,113560,52468,32330,21340,7422,33607.52,0.14145765037737287,4.528094853139315
2019-11-03,2019-11,126029,57796,35693,24742,7798,36535.25,0.13492283202989827,4.685207745575789
2019-11-04,2019-11,138500,62236,38911,29300,8053,39500.54,0.12939456263255994,4.905071401962002
2019-11-05,2019-11,150276,69121,41941,30327,8887,41859.68,0.12857163524833262,4.7102149206706425
2019-11-06,2019-11,142348,65622,39977,28039,8710,42386.49,0.13272987717533755,4.866416762342135
2019-11-07,2019-11,190194,79051,54412,40242,16489,80731.96,0.208586861646279,4.8961101340287465
2019-11-08,2019-11,171636,73470,45942,35596,16628,83522.43,0.22632366952497618,5.022999158046668
2019-11-09,2019-11,114158,55895,31260,21561,5442,27384.52,0.09736112353519993,5.032069092245498
2019-11-10,2019-11,121377,57304,34782,23083,6208,31481.27,0.10833449671925172,5.071080863402062
2019-11-11,2019-11,137928,65547,37393,26067,8921,45773.61,0.13610081315697134,5.130995404102679
2019-11-12,2019-11,130829,61304,37119,24222,8184,39656.42,0.13349862977945975,4.845603616813294
2019-11-13,2019-11,139665,64956,38714,27561,8434,44419.25,0.12984173902333887,5.266688404078729
2019-11-14,2019-11,132756,61726,37903,25495,7632,39889.73,0.12364319735605742,5.22664177148847
2019-11-15,2019-11,122915,56736,35244,24075,6860,35068.92,0.12091088550479413,5.112087463556851
2019-11-16,2019-11,112832,51399,31515,22889,7029,35052.38,0.13675363333917,4.986823161189358
2019-11-17,2019-11,125744,57499,35922,24386,7937,37324.53,0.13803718325536096,4.702599218848431
2019-11-18,2019-11,151701,68757,42258,31093,9593,47077.15,0.13952033974722575,4.907448139268217
2019-11-19,2019-11,140565,66085,40071,25166,9243,45493.85,0.13986532496027843,4.9219787947636044
2019-11-20,2019-11,139748,63611,39627,27637,8873,43038.97,0.1394884532549402,4.850554491152936
2019-11-21,2019-11,220932,89914,66809,48086,16123,78061.0,0.17931579064439354,4.841592755690629
2019-11-22,2019-11,270074,111247,81387,54660,22780,102783.33,0.2047695668197794,4.511998683055312
2019-11-23,2019-11,199751,85173,57410,41685,15483,70424.04,0.1817829593885386,4.548475101724471
2019-11-24,2019-11,207607,86745,56195,44203,20464,87953.9,0.23590985071185658,4.297981821735731
2019-11-25,2019-11,142350,69497,37729,28134,6990,32914.67,0.10057988114594875,4.708822603719599
2019-11-26,2019-11,134721,65876,35996,24809,8040,38881.74,0.12204748315016091,4.836037313432835
2019-11-27,2019-11,146034,69249,40383,28193,8209,40180.04,0.11854322806105504,4.894632720185163
2019-11-28,2019-11,224940,95786,66940,45240,16974,77470.54,0.17720752510805338,4.564070932013667
2019-11-29,2019-11,206154,88786,58640,40736,17992,78143.19,0.20264456107944948,4.343218652734548
2019-11-30,2019-11,161399,70507,45589,32045,13258,57273.74,0.18803806714226956,4.319938150550611
2019-12-01,2019-12,127579,59528,34525,26290,7236,32701.1,0.12155624244053219,4.519223327805417
2019-12-02,2019-12,134714,64921,36202,24512,9079,43304.28,0.1398468908365552,4.769719132063003
2019-12-03,2019-12,137687,63503,38986,26981,8217,38703.91,0.12939546163173393,4.710223926007059
2019-12-04,2019-12,137253,65472,37450,25960,8371,41233.5,0.12785618279569894,4.925755584756899
2019-12-05,2019-12,127346,61445,33650,24484,7767,37379.7,0.12640572870046382,4.812630359212051
2019-12-06,2019-12,120309,56883,32779,23264,7383,36516.54,0.1297927324508201,4.946030069077611
2019-12-07,2019-12,110485,53910,28769,21783,6023,27908.62,0.11172324244110554,4.633674248713266
2019-12-08,2019-12,121400,57435,33089,24281,6595,32046.51,0.11482545486201794,4.859213040181956
2019-12-09,2019-12,156687,73983,41938,31472,9294,45978.2,0.12562345403673816,4.947084140305573
2019-12-10,2019-12,148027,68677,38997,30559,9794,47542.27,0.14260960729210653,4.854224014702879
2019-12-11,2019-12,144392,69931,38149,26922,9390,45395.76,0.13427521413965193,4.834479233226837
2019-12-12,2019-12,138363,65577,36814,26576,9396,44951.44,0.14328194336428932,4.784103873988932
2019-12-13,2019-12,121305,59932,30280,23297,7796,37855.33,0.1300807581926183,4.855737557721909
2019-12-14,2019-12,110444,53099,29102,22205,6038,30544.5,0.11371212263884442,5.058711493872143
2019-12-15,2019-12,121682,60275,31313,23075,7019,35424.67,0.11644960597262546,5.046968229092463
2019-12-16,2019-12,140946,67282,37235,27203,9226,47316.07,0.13712434232038287,5.128557337957945
2019-12-17,2019-12,130639,63779,33538,24897,8425,43714.89,0.1320967716646545,5.188710979228486
2019-12-18,2019-12,129070,64313,33259,23680,7818,42605.93,0.12156173712935177,5.449722435405475
2019-12-19,2019-12,116253,58848,29272,20990,7143,37653.8,0.1213805057096248,5.271426571468571
2019-12-20,2019-12,99237,49265,26223,17441,6308,34870.09,0.12804222064345885,5.5279153455928975
2019-12-21,2019-12,97020,49525,24893,16999,5603,28779.7,0.11313478041393235,5.136480456898091
2019-12-22,2019-12,106284,52169,28040,19989,6086,33169.24,0.11665931875251587,5.450088728228721
2019-12-23,2019-12,116431,58344,30308,20840,6939,36717.56,0.11893253805018511,5.2914771580919435
2019-12-24,2019-12,109832,54577,29626,18728,6901,36863.4,0.12644520585594665,5.341747572815534
2019-12-25,2019-12,107267,54129,27340,19127,6671,33660.8,0.12324262410168302,5.0458402038674866
2019-12-26,2019-12,91702,46670,23547,15571,5914,31428.06,0.12671952003428327,5.3141799120730475
2019-12-27,2019-12,81306,41300,20035,15265,4706,24544.19,0.11394673123486683,5.215509987250319
2019-12-28,2019-12,81312,41477,20967,14082,4786,26292.42,0.11538925187453287,5.493610530714584
2019-12-29,2019-12,75556,40668,18647,12748,3493,21296.68,0.08589062653683485,6.09695963355282
2019-12-30,2019-12,61662,34198,15088,9743,2633,14237.95,0.07699280659687702,5.407500949487277
2019-12-31,2019-12,31096,17216,7063,5691,1126,6987.74,0.06540427509293681,6.205808170515097
2020-01-01,2020-01,80940,39631,21874,16166,3269,16765.95,0.08248593272942899,5.128770266136433
2020-01-02,2020-01,103157,49914,27823,20545,4875,25067.09,0.09766798894097849,5.141967179487179
2020-01-03,2020-01,116893,55440,31022,24400,6031,32840.06,0.10878427128427129,5.445209749626927
2020-01-04,2020-01,116617,55937,30756,23322,6602,32513.2,0.1180256359833384,4.924750075734626
2020-01-05,2020-01,121732,58225,32703,23577,7227,35698.71,0.12412194074710176,4.939630552096306
2020-01-06,2020-01,107842,52689,28788,19997,6368,35742.24,0.12086014158553018,5.612788944723618
2020-01-07,2020-01,125209,59653,34096,23896,7564,38830.28,0.1267999932945535,5.133564251718667
2020-01-08,2020-01,131054,64140,35604,23708,7602,37210.76,0.11852198316183349,4.894864509339648
2020-01-09,2020-01,144709,70340,39754,25841,8774,46301.8,0.12473699175433609,5.277159790289492
2020-01-10,2020-01,130991,65486,33962,22968,8575,44248.64,0.1309440185688544,5.160191253644315
2020-01-11,2020-01,130337,65260,33698,23909,7470,36310.72,0.11446521605884155,4.860872824631861
2020-01-12,2020-01,145717,71530,38385,27655,8147,41880.75,0.11389626730043338,5.1406345894194185
2020-01-13,2020-01,160363,75508,44111,30606,10138,50184.77,0.13426391905493457,4.9501647267705655
2020-01-14,2020-01,163808,76985,43640,32867,10316,49728.16,0.13400012989543417,4.82048856145793
2020-01-15,2020-01,157848,74989,43613,29284,9962,47348.38,0.13284615076877943,4.752899016261795
2020-01-16,2020-01,146000,69027,39374,28245,9354,43446.15,0.13551219088182884,4.644660038486209
2020-01-17,2020-01,140112,65064,37400,28383,9265,43294.43,0.14239825402680437,4.672901241230437
2020-01-18,2020-01,119252,57418,32316,23321,6197,32230.27,0.10792782751053677,5.20094723253187
2020-01-19,2020-01,137205,65062,36127,27848,8168,39367.78,0.12554179090713474,4.819757590597454
2020-01-20,2020-01,152557,72900,40810,29833,9014,45517.88,0.12364883401920439,5.049687153317062
2020-01-21,2020-01,150404,70681,42499,28059,9165,47214.73,0.12966709582490343,5.151634478996182
2020-01-22,2020-01,138344,66255,37601,25400,9088,44715.82,0.13716700626367823,4.920314700704226
2020-01-23,2020-01,141652,69529,38188,25235,8700,45708.89,0.12512764457995945,5.25389540229885
2020-01-24,2020-01,135184,66086,35532,24787,8779,42814.01,0.1328420542928911,4.876866385693131
2020-01-25,2020-01,120436,58142,31808,23720,6766,32850.71,0.11637026590072581,4.855263080106415
2020-01-26,2020-01,134735,65300,35319,25934,8182,39995.78,0.12529862174578868,4.888264483011488
2020-01-27,2020-01,206611,88661,56506,43130,18314,91419.66,0.20656207351597658,4.9917909795784645
2020-01-28,2020-01,184379,81976,49087,35964,17352,87725.65,0.2116717087928174,5.055650645458736
2020-01-29,2020-01,145257,70952,40400,26300,7605,39372.25,0.10718513924906979,5.17715318869165
2020-01-30,2020-01,142843,68605,39510,27146,7582,38993.52,0.11051672618613803,5.142906884726985
2020-01-31,2020-01,132564,66223,36017,22978,7346,36196.44,0.11092822735303444,4.927367274707324
2020-02-01,2020-02,146270,68524,41877,28434,7435,36855.51,0.10850213064035959,4.957028917283121
2020-02-02,2020-02,156196,72677,44655,30149,8715,41881.35,0.11991414064972412,4.805662650602409
2020-02-03,2020-02,176178,80059,51925,34196,9998,48823.58,0.12488289886208921,4.883334666933387
2020-02-04,2020-02,159671,75035,44178,31521,8937,45189.09,0.11910441793829546,5.056404833836858
2020-02-05,2020-02,160977,73018,45987,32469,9503,47611.01,0.13014599139938096,5.010103125328844
2020-02-06,2020-02,147526,69252,39370,29695,9209,44889.98,0.132978108935482,4.874577044195895
2020-02-07,2020-02,138481,66699,38563,25339,7880,39148.96,0.1181427007901168,4.968142131979695
2020-02-08,2020-02,125398,59063,34962,24157,7216,37001.05,0.12217462709310398,5.127639966740577
2020-02-09,2020-02,149230,68240,40475,31873,8642,41238.02,0.12664126611957796,4.7718143948160145
2020-02-10,2020-02,158514,74914,42783,31836,8981,43624.33,0.11988413380676509,4.8574022937312105
2020-02-11,2020-02,151019,71874,40552,29153,9440,48127.87,0.13134095778723878,5.098291313559322
2020-02-12,2020-02,163754,75138,45609,33444,9563,46860.79,0.1272724852937262,4.900218550664017
2020-02-13,2020-02,142549,67062,40024,26375,9088,43663.52,0.13551638782022607,4.804524647887324
2020-02-14,2020-02,118554,57638,31164,22805,6947,34289.19,0.12052812380721052,4.935826975672953
2020-02-15,2020-02,126183,58747,37002,24399,6035,32129.03,0.10272864997361568,5.323782932891466
2020-02-16,2020-02,132936,63022,36791,25719,7404,38733.2,0.11748278378978769,5.231388438681793
2020-02-17,2020-02,154544,71315,43346,30846,9037,46175.57,0.12671948397952745,5.109612703330751
2020-02-18,2020-02,147805,69933,39648,29533,8691,43892.0,0.12427609283171036,5.050281900816937
2020-02-19,2020-02,150873,70506,41468,29965,8934,43108.64,0.12671262020253596,4.825233937765838
2020-02-20,2020-02,131305,63770,35620,23533,8382,43429.2,0.13144111651246668,5.181245526127416
2020-02-21,2020-02,116271,57143,30750,20821,7557,38749.49,0.13224716938207653,5.127628688633055
2020-02-22,2020-02,109037,53184,29016,20648,6189,31231.96,0.11636958483754513,5.046366133462595
2020-02-23,2020-02,120221,56862,34205,22923,6231,33401.95,0.10958109106257255,5.3606082490771945
2020-02-24,2020-02,142914,64902,40796,29192,8024,39515.21,0.12363255369634217,4.924627367896311
2020-02-25,2020-02,157952,72601,43236,32397,9718,49080.11,0.13385490557981294,5.050433216711258
2020-02-26,2020-02,151357,71096,40772,30363,9126,45002.94,0.12836165185101833,4.931288625904011
2020-02-27,2020-02,147881,70450,39757,27948,9726,45454.9,0.13805535841022,4.673545136746864
2020-02-28,2020-02,136356,66323,36566,25139,8328,40653.92,0.12556729942855419,4.8815946205571565
2020-02-29,2020-02,136730,64539,37597,27537,7057,36526.84,0.10934473729063048,5.175972792971518
