product_id,brand,category_key,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,purchase_per_view_rate,avg_purchase_price
5795346,strong,category_id:1487580006300255120,5659,4880,432,279,68,10406.36,0.013934426229508197,153.03470588235294
5855508,max,appliances.environment.vacuum,3734,2709,513,405,107,10173.56,0.03949796973052787,95.08
5588154,irisk,category_id:1487580006300255120,6551,5607,510,306,128,9932.5,0.02282860709827002,77.59765625
5866964,sunuv,category_id:1487580009051717646,8495,6735,931,613,216,9925.92,0.032071269487750555,45.95333333333333
5809728,uno,category_id:1487580005092295511,5670,1961,1801,1348,560,9723.96,0.2855685874553799,17.364214285714283
5809911,grattol,category_id:1602943681873052386,36181,19674,8703,5977,1827,9509.96,0.09286367795059469,5.205232621784345
5715618,,category_id:1487580006300255120,8989,8056,507,305,121,9498.13,0.015019860973187686,78.49694214876033
5816170,grattol,category_id:1602943681873052386,32212,17178,7841,5391,1802,9411.12,0.10490161834905111,5.222597114317425
5649219,,category_id:1487580005268456287,14378,6309,4167,2616,1286,9158.5,0.2038357901410683,7.121695178849144
5861276,marathon,category_id:1487580006300255120,5352,4613,399,274,66,9068.66,0.014307392152612184,137.4039393939394
5754853,,category_id:1487580005092295511,10194,4544,2766,2039,845,8924.63,0.18595950704225353,10.561692307692306
5528034,,category_id:1487580005553668971,12435,5883,3523,2122,907,8599.92,0.1541730409654938,9.481719955898567
5728072,runail,category_id:1487580009177546772,10482,8580,1074,534,294,8543.64,0.03426573426573427,29.06
5750301,ingarden,category_id:1487580005713052531,6771,3209,1881,1132,549,8540.01,0.17108133374883142,15.555573770491804
5815730,,category_id:1487580005092295511,11999,6651,2860,1709,779,8453.83,0.11712524432416178,10.852156611039794
4185,cnd,category_id:1487580005411062629,7068,4098,1701,832,437,8438.14,0.1066373840897999,19.30924485125858
5873655,strong,category_id:1487580006300255120,2918,2429,275,169,45,8131.89,0.018526142445450804,180.7086666666667
5877456,jessnail,category_id:1487580006300255120,23815,22393,784,571,67,8115.42,0.002992006430580985,121.12567164179104
5810479,,category_id:1487580005268456287,2501,634,920,580,367,8084.99,0.5788643533123028,22.02994550408719
5815731,,category_id:1487580005268456287,9935,5452,2340,1412,731,7933.85,0.13407923697725604,10.85341997264022
5768981,irisk,category_id:1487580006300255120,9647,8553,619,379,96,7849.59,0.011224131883549631,81.7665625
5896418,jessnail,category_id:1487580006300255120,8676,7459,690,372,155,7516.85,0.02078026545113286,48.49580645161291
5625247,jas,category_id:1487580006434472855,4341,3699,359,207,76,7478.4,0.020546093538794268,98.39999999999999
5802162,italwax,category_id:1487580013069861041,6938,4830,1227,565,316,7462.08,0.06542443064182195,23.614177215189873
5856193,runail,furniture.living_room.cabinet,5754,4792,495,377,90,7412.08,0.018781302170283808,82.35644444444445
5608703,,category_id:1487580005553668971,7707,2938,2579,1411,779,7378.89,0.26514635806671205,9.472259306803595
5814046,grattol,category_id:1487580005092295511,19709,10146,4899,3509,1155,7215.29,0.11383796570076878,6.247004329004329
5790563,,category_id:1487580008263189483,23834,16856,4181,1815,982,6983.04,0.058258186995728524,7.111038696537678
5900651,,category_id:1487580013950664926,17407,15385,1065,603,354,6910.08,0.02300942476438089,19.52
5905704,,category_id:1487580005092295511,8918,4193,2459,1609,657,6868.71,0.1566897209635106,10.454657534246575
19162,cnd,category_id:1487580008447738866,7385,3802,2235,708,640,6834.24,0.16833245660178853,10.6785
5622678,severina,category_id:1487580007281722301,4471,1120,1717,885,749,6796.95,0.66875,9.074699599465955
5799891,,category_id:1487580009051717646,7815,5639,1154,669,353,6674.08,0.06259975172902997,18.906742209631727
5766979,italwax,category_id:1487580013069861041,4331,2224,1184,554,369,6670.55,0.16591726618705036,18.07737127371274
5651977,,category_id:1487580009177546772,8654,7092,924,430,208,6593.48,0.029328821206993795,31.699423076923075
5886282,,category_id:1487580013950664926,21901,19309,1439,843,310,6459.62,0.016054689523020353,20.83748387096774
5560760,strong,category_id:1487580006300255120,3377,2919,253,170,35,6406.76,0.011990407673860911,183.0502857142857
5764716,italwax,category_id:1487580012902088873,8595,5588,1615,969,423,6337.17,0.07569792412312097,14.981489361702128
5846096,,category_id:1487580013950664926,6610,5709,507,274,120,6182.82,0.021019442984760904,51.5235
5856191,runail,appliances.environment.vacuum,10238,7718,1263,1004,253,6141.84,0.03278051308629178,24.27604743083004
5810083,irisk,appliances.environment.vacuum,6862,4807,1086,729,240,6091.4,0.0499271895152902,25.38083333333333
5649236,concept,category_id:1487580008246412266,25022,19777,3117,1410,718,6076.55,0.036304798503311926,8.46316155988858
5774248,,furniture.living_room.cabinet,8149,6877,650,545,77,6046.43,0.011196742765740876,78.52506493506493
5528051,,category_id:1487580009387261981,8764,3928,2511,1381,944,5824.16,0.24032586558044808,6.169661016949153
5845327,,category_id:1487580005268456287,2629,692,929,599,409,5801.69,0.5910404624277457,14.185061124694375
5816172,grattol,category_id:1602943681873052386,15815,7171,4392,3139,1113,5799.42,0.1552084785943383,5.2106199460916445
5841190,,category_id:1487580009051717646,5027,3802,620,483,122,5741.63,0.03208837453971594,47.06254098360656
5896421,jessnail,category_id:1487580009051717646,6746,4807,1034,699,206,5737.17,0.04285417100062409,27.850339805825243
5715617,,category_id:1487580006300255120,7746,6958,437,272,79,5685.14,0.011353837309571716,71.96379746835443
5866962,sunuv,category_id:1487580009051717646,6461,5665,412,291,93,5678.76,0.01641659311562224,61.06193548387097
3762,cnd,category_id:1487580005411062629,4912,2705,1248,665,294,5663.74,0.10868761552680221,19.264421768707482
5590822,strong,category_id:1487580006300255120,4755,4242,287,197,29,5638.76,0.006836397925506836,194.44
5917178,,category_id:1487580013950664926,16057,13970,1124,619,344,5624.4,0.02462419470293486,16.349999999999998
5814516,,category_id:1487580013539623112,4789,2408,1389,573,419,5613.16,0.1740033222591362,13.396563245823389
5857677,artex,category_id:1487580005092295511,5602,2708,1560,863,471,5572.5,0.1739290989660266,11.831210191082803
6730,,category_id:1487580007256556476,10701,6118,2359,1445,779,5502.58,0.12732919254658384,7.063645699614891
5800788,,category_id:1487580007256556476,12708,5746,3584,2167,1211,5431.25,0.21075530804037593,4.484929810074319
5736504,,category_id:1487580012902088873,5873,4094,970,534,275,5425.68,0.067171470444553,19.729745454545455
5770385,italwax,category_id:1487580013069861041,3701,1817,1073,512,299,5417.07,0.16455696202531644,18.117290969899663
5823969,uno,category_id:1487580005268456287,2314,604,821,577,312,5411.32,0.5165562913907285,17.343974358974357
5783987,,category_id:1487580005268456287,13721,6329,3833,2427,1132,5312.26,0.17885921946595038,4.692809187279152
5798929,zinger,category_id:1783999068909863670,7654,2743,2549,1505,857,5244.89,0.3124316441851987,6.120058343057177
5855118,,category_id:1487580005092295511,3724,2157,796,548,223,5244.47,0.1033843300880853,23.51780269058296
5855117,,category_id:1487580005268456287,4040,2152,1004,582,302,5199.87,0.14033457249070633,17.21811258278146
5816166,grattol,category_id:1602943681873052386,17835,10086,4050,2707,992,5141.92,0.09835415427325005,5.183387096774194
5878923,,category_id:1487580007256556476,6492,2458,2079,1319,636,5129.76,0.25874694873881204,8.06566037735849
5844894,,category_id:1487580008313521133,13027,7683,3067,1450,827,5118.86,0.10764024469608226,6.189673518742442
5884577,max,appliances.environment.vacuum,6449,5329,575,438,107,5078.22,0.020078814036404578,47.46
5689471,staleks,category_id:1487580007852147670,6048,3484,1378,798,388,5058.44,0.1113662456946039,13.03721649484536
